slotID,spotID,date,startTime,endTime,isReserved
1,1,2024-11-27,08:00,09:00,false
2,1,2024-11-27,09:00,10:00,false
3,1,2024-11-27,10:00,11:00,false
4,2,2024-11-27,09:00,10:00,false
5,2,2024-11-27,10:00,11:00,false
6,2,2024-11-27,11:00,12:00,false
7,3,2024-11-28,08:00,09:00,false
8,3,2024-11-28,09:00,10:00,false
9,3,2024-11-28,10:00,11:00,false
10,4,2024-11-28,10:00,11:00,false
11,4,2024-11-28,11:00,12:00,false
12,4,2024-11-28,12:00,13:00,false
13,5,2024-11-29,08:00,09:00,false
14,5,2024-11-29,09:00,10:00,false
15,5,2024-11-29,10:00,11:00,false
16,6,2024-11-29,09:00,10:00,false
17,6,2024-11-29,10:00,11:00,false
18,6,2024-11-29,11:00,12:00,false
19,7,2024-11-30,08:00,09:00,false
20,7,2024-11-30,09:00,10:00,false
21,7,2024-11-30,10:00,11:00,false
22,8,2024-11-30,10:00,11:00,false
23,8,2024-11-30,11:00,12:00,false
24,8,2024-11-30,12:00,13:00,false
25,9,2024-12-01,08:00,09:00,false
26,9,2024-12-01,09:00,10:00,false
27,9,2024-12-01,10:00,11:00,false
28,10,2024-12-01,09:00,10:00,false
29,10,2024-12-01,10:00,11:00,false
30,10,2024-12-01,11:00,12:00,false
